CF,STD,NWC,Expendit,SIZE,TobinsQ,FIN,FINCF,CASH
-0.000286421,0.132339743,0.018820699,0.001805518,25.50437542,1.256246,0.095238095,-0.001979528,0.024587936
0.067244012,0.025467588,0.097104052,0.005857646,25.64767893,1.512329,0.090909091,0.000847553,0.014711941
0.010375074,0.285629804,0.063091706,0.001214717,26.09686483,1.165681,0.181818182,-0.004557102,0.060723007
0.011442701,0.239943767,0.020433428,0.00088303,26.41432923,1.042761,0.173913043,-0.004149468,-0.005006015
0.009836174,0.156043174,0.055484653,0.000397748,26.66027846,1.07702,0.166666667,-0.00408712,0.046214461
0.004014707,0.144172575,0.021253066,0.005090494,26.89539499,0.968617,0.166666667,-0.004754773,-0.016936529
0.082069435,0.032910918,0.011854464,0.003600932,26.9545516,1.073814,0.153846154,0.003727983,0.03668145
-0.230369831,0.216109502,-0.103617406,0.0024933,22.50184589,1.138939,0,0.014337946,-0.074545943
0.05074633,-0.213969399,0.362474473,0.000814618,22.70730098,1.488781,0.125,0.000385063,0.08327646
0.126842295,0.272397486,-0.110881055,0.001059772,22.87133545,1.320283,0.111111111,0.004811563,0.105407418
0.144024154,0.155700191,-0.228144128,0.000291419,22.84216533,1.140111,0.125,0.007196334,-0.119205247
0.233491364,-0.055644548,0.130720728,0.000153625,22.95793929,1.301313,0.083333333,0.005895251,0.124027693
-0.089313565,-0.144999393,0.14262927,0.000243186,23.02266185,1.247645,0,0.007006028,0.017557483
-0.093417313,0.197828558,-0.047189842,0.000586664,23.18739287,1.451196,0,0.007219336,-0.063834466
0.062580821,-0.114806079,0.092257528,0.006957727,20.23003516,2.104007,0.142857143,0.001554729,0.027648999
-0.050892257,-0.671725829,0.176081656,0.018726849,19.71066129,4.729332,0.071428571,-0.001874295,-0.460829601
0.0838273,-0.149058258,0.115767447,0.00122156,19.6219145,5.855905,0.133333333,0.003120298,-0.06509337
-0.04684049,-0.737716736,0.869161092,0.001995965,19.70830104,4.386821,0.133333333,-0.007510136,0.269862235
-0.315840717,0.535390203,0.023123211,0.002367128,20.48713837,4.85634,0.133333333,-0.029394558,0.01286861
0.293319398,-0.286867782,0.035739726,0.001265443,20.30397345,5.338406,0.125,0.018098071,0.018550145
0.018502318,0.011093612,0.045625298,0.001495738,20.33896309,5.426518,0.130434783,-0.002116018,-0.078186954
0.008924723,-0.011671366,0.031215227,0.025438316,18.18387457,4.188101,0,0.001899733,-0.070579468
0.046620964,0.014197439,0.012274881,8.81398E-05,18.19010939,11.466646,0,-5.96678E-05,-0.042442565
-0.005403017,-0.03271969,0.029700974,0.004195949,18.17135004,11.358084,0,0.00264447,0.15059472
-0.013336565,-0.002021995,0.012784376,0.001182551,18.16238396,6.690333,0,0.003056845,-0.105578332
0.141188262,0.113431407,0.073398168,0.012964077,20.23522797,2.772473,0,-0.00497515,0.078071386
0.106570445,-0.015897252,0.092728941,0.017442807,20.25586035,4.461124,0,-0.003175762,0.060994411
0.101921656,0.017713464,0.02073235,0.00423074,20.32878228,10.062248,0,-0.002934124,0.053835077
0.068723524,0.047164108,-0.006559259,0.024896103,22.52889365,1.269586,0,-0.001208529,-0.024560209
0.084678369,0.035746112,0.072929814,0.037754508,22.73843678,2.198523,0,-0.002037841,0.125612213
-0.058490665,0.070466209,0.139722938,0.020975114,23.02831268,2.454221,0,0.005403895,0.006102021
-0.070268797,0.105060002,0.027050004,0.039507797,23.19014679,1.659188,0,0.006016107,-0.038347978
0.02662797,0.141300983,-0.076555108,0.048542679,23.30130833,1.372419,0,0.000979542,0.052415976
0.005908069,0.043595275,-0.059384549,0.047105012,23.334203,1.49964,0,0.002056534,-0.027285065
0.03223218,-0.073271602,0.123290665,0.043698087,23.41284622,1.952679,0,0.000688242,0.02989883
-0.011229137,0.021466925,0.041995986,0.008240168,21.4703546,1.655814,0.111111111,-0.003352938,0.013997725
0.26800939,0.251349975,-0.008775638,0.000977858,21.76510245,2.872924,0.111111111,0.013159118,0.196988189
-0.034936025,0.000166832,0.004110719,0.006689548,21.7925459,2.028219,0.105263158,-0.004284556,-0.101479005
-0.103288013,0.147282193,0.013005127,0.00354663,21.97591689,1.663156,0.105263158,-0.007926656,-0.020186078
0.20394183,0.009913647,0.081935385,0.001095399,22.09716012,1.654861,0.117647059,0.01040639,0.08312706
0.028509457,-0.119900947,0.108162578,0.003278093,22.07736049,1.689629,0.111111111,-0.001003098,0.046329924
-0.003766668,-0.082504223,0.0946191,0.0035235,22.07994809,1.913779,0.157894737,-0.005215276,-0.043315982
0.099287366,0.074213295,-0.106381075,0.258630462,23.06276717,1.323547,0.25,0.010656385,-0.08333441
0.153045346,-0.005010721,-0.004726133,0.106895908,23.11325265,2.198676,0.235294118,0.019719666,0.022055055
0.189766334,-0.12144575,0.151652557,0.161711906,23.24656106,3.115404,0.235294118,0.02645119,0.00197244
0.110495841,0.112630158,-0.056011824,0.1833615,23.44990166,1.510878,0.166666667,0.007457335,-0.001688142
0.12038354,-0.032831042,-0.052042468,0.09701319,23.38602642,1.477499,0.157894737,0.007934226,-0.013021939
0.112665465,-0.008827723,0.048883625,0.142078762,23.43656005,1.399245,0.058823529,0.000459923,-0.01135932
0.093026198,0.119843921,-0.184018682,0.125232309,23.43907309,1.436255,0.105263158,0.002533846,-0.007912557
-0.057241609,0.412142573,-0.07804178,0.000695112,21.2344251,1.633962,0.19047619,-0.014225724,0.091578359
0.245637848,0.048891837,-0.046060995,0.000233561,21.27826053,2.514527,0.210526316,0.031735659,0.051223551
0.04239214,-0.23511684,0.137977467,0.000293638,21.186846,1.813884,0.166666667,-0.000353342,-0.044622038
-0.145973554,-0.048291561,0.165997901,0.000255371,21.3095566,1.21372,0.125,-0.013979684,-0.03604585
0.045737285,0.294004044,-0.188110123,0.000250015,21.42661214,1.533078,0.105263158,1.40803E-05,0.026205767
0.039202656,-0.310661525,0.233752347,0.001963196,21.36127859,1.742824,0.111111111,-0.000370783,-0.035796939
-0.143933323,0.05550821,0.104623426,0.000247208,21.52828274,1.921063,0.058823529,-0.00129646,0.002587798
0.03437293,0.095836144,0.024576466,0.01516569,23.07941283,0.914406,0.0625,-0.000116788,0.008764597
0.021676132,0.214657915,-0.015435044,0.025667954,23.33098604,1.249852,0.052631579,-1.55372E-05,-0.007007287
-0.026282996,0.134775429,0.018647888,0.027241469,23.52461787,1.038384,0,0.003729783,-0.010956918
-0.081062902,0.017222632,-0.030181527,0.023121673,23.55096124,0.932466,0,0.00657717,0.0045501
-0.021689713,-0.008164072,-0.031085788,0.013872161,23.53043213,0.941377,0,0.00349103,0.010722273
0.14503036,-0.029409708,-0.021380763,0.018400288,23.47967972,0.979778,0,-0.005174857,0.060180978
-0.038165056,0.001380605,0.02044409,0.044754983,23.54341535,1.092188,0,0.004347397,-0.007822264
0.070605168,0.020993096,-0.062277017,0.000136588,19.07780611,2.784623,0.043478261,-0.000213633,0.045155516
-0.004303833,-0.019927743,-0.026402447,0.014060609,19.12039747,5.639848,0.071428571,-0.000968155,-0.026141706
0.00121381,-0.015508805,-0.028534195,0.00042507,19.09225908,5.401918,0.071428571,-0.000860838,-0.022065905
0.024398859,0.006892547,0.003631888,0.000107612,18.96439241,3.732334,0.076923077,-0.000525683,0.009363181
-0.002234955,0.00072164,0.000149259,0.004012307,18.9630199,5.161014,0.071428571,-0.000927916,-0.006814166
0.010020997,-0.048959739,0.109781905,0.000213551,18.95426221,7.303785,0,0.00184275,0.066131751
0.007493744,0.049211847,-0.003401641,2.80774E-05,19.03272039,17.083862,0,0.001974113,-0.026508703
0.000971894,0.08244144,-0.072778233,0.155022665,20.09204592,1.895677,0.066666667,-0.000653633,0.004255599
0.002751891,0.116747322,-0.020457429,0.067780307,20.25062956,3.233929,0.071428571,-0.000830922,0.109265926
0.00793206,0.075115146,-0.03475302,0.143819368,20.30542776,3.184669,0.071428571,-0.000730168,-0.076044969
-0.017693826,-0.085539137,0.451735367,0.035557752,20.78338608,1.888558,0.052631579,-4.12421E-05,0.373178799
-0.039603248,0.033135689,0.055096166,0.115074069,20.92456827,1.824182,0.047619048,0.000370901,-0.05226572
-0.008916277,0.07559722,-0.089076238,0.117736005,21.01342378,1.611045,0,0.002827084,-0.086181174
0.022036066,-0.141929518,-0.012337521,0.046823903,20.86703043,2.084517,0,0.001218223,0.020262651
0.078148256,-0.186494911,-0.054331877,0.04818572,22.18923229,1.04079,0,-0.001698414,-0.073799378
0.090947799,0.120317875,0.039460831,0.035775068,22.41489085,2.360315,0.047619048,-0.000198253,0.031579797
0.017165427,0.101879331,-0.00969039,0.060111806,22.62036654,2.65153,0.052631579,-1.84823E-05,-0.030655309
0.016453442,0.371410593,-0.031835959,0.025577375,23.05897179,1.236754,0.05,5.74202E-05,0.077274076
0.028272047,0.002142522,-0.012093001,0.028583685,23.0438248,1.202091,0.045454545,0.000112221,-0.037354278
0.032699443,0.199223609,0.055475427,0.018655797,23.34259788,1.204502,0.045454545,8.33365E-05,0.027952947
-0.006857355,0.043625147,-2.61355E-05,0.035731309,23.39398937,1.380932,0.047619048,0.000228141,-0.022024679
0.211566264,-0.170317417,0.124494141,0.051329754,22.36298618,1.417626,0,-0.008633305,-0.02718646
0.131425219,0.048500154,-0.02012895,0.048700572,22.43306905,2.023653,0,-0.00446768,0.018021461
0.149438562,0.103184368,-0.091132096,0.032169999,22.54816744,1.775852,0,-0.00540399,0.00654992
0.114092436,-0.008525756,-0.041302422,0.08958324,22.60123793,1.222174,0,-0.003566745,-0.046318128
0.103002362,-0.098612379,0.078906571,0.072618068,22.63740966,1.264331,0,-0.002990298,-0.024174933
0.122122743,-0.004350449,0.055919282,0.055257922,22.71749382,1.63471,0,-0.00398415,0.054540578
0.117983836,-0.076860035,0.042336733,0.032251434,22.65996573,2.126025,0.08,0.002031849,-0.035598369
-0.078627608,0.015080052,0.144089857,0.030855666,20.6973908,1.232631,0.055555556,-0.000443894,0.01111944
0.08097186,0.231993743,-0.140963457,0.017446816,20.7957914,1.972712,0.055555556,0.000126975,0.011147902
0.135047328,-0.176432225,0.075137007,0.007677997,20.65981615,1.909632,0.045454545,-0.000584394,-0.001294847
0.03547915,0.066155979,0.082131614,0.014081584,20.81271473,1.407538,0.04,0.000119713,0.078220173
-0.066243501,0.073337361,0.160835816,0.026879361,20.92133356,1.405669,0.05,0.00022105,0.04795608
0.021784217,0.126199777,-0.030028637,0.011495726,21.01959554,1.504383,0.045454545,0.000154549,-0.076596583
-0.016967403,0.073396864,0.012727104,0.018905279,21.11124696,2.208724,0.038461538,0.000844016,-0.019792044
-0.104705027,0.051739282,0.237591572,0.002239432,24.34592576,1.142413,0,0.007806056,0.101852997
0.147289135,0.198214827,0.013462704,0.00157902,24.59232206,1.541444,0,-0.005292265,0.029596827
-0.07433007,0.080166958,0.103302388,0.000731764,24.81457648,1.096363,0,0.006227206,0.002322607
-0.026514782,0.140254139,0.114957214,0.000866718,25.10111494,1.066379,0,0.003741831,0.059565555
0.046693283,0.234142919,0.032616298,0.000618428,25.41642165,1.190472,0,-6.34268E-05,0.041745855
0.003699805,0.071514345,0.076053204,0.002420473,25.62140743,0.971789,0,0.002171317,0.044890737
-0.042500857,0.034803105,0.079892958,0.000368629,25.74512039,1.144781,0,0.004572766,-0.008490346
0.057730729,-0.31963903,0.068068754,0.00130725,20.23639123,1.967831,0,-0.000637139,-0.058902533
0.043296356,-0.150113743,0.17586629,0.001358779,20.23140445,4.454774,0,0.000113141,0.053478653
0.011915474,-0.022080842,-0.007540993,0.0011371,20.21169986,3.878032,0,0.001744277,-0.013765518
-0.025825894,0.101606356,-0.118932723,0.004069825,20.16236244,2.694089,0,0.003706024,-0.014362192
-0.012027053,0.023216181,0.007661266,0.047793936,20.28462333,2.647325,0,0.002988778,-0.001211085
-0.003751272,0.050455866,-0.009453906,0.04445736,20.36801581,3.315417,0,0.002558614,0.011442137
0.007707449,0.0577931,-0.072974693,0.128649781,20.50799717,3.333414,0,0.001963005,0.020933527
-0.053931291,0.203267073,-0.069061518,0.120348516,21.08873329,1.266568,0,0.005166905,0.016784959
0.054477661,0.007537999,0.045390169,0.036131394,21.14456294,2.376354,0,-0.000468048,-0.008223579
-0.040420305,0.113394986,0.254430583,0.02561236,21.61384445,2.324931,0,0.004464622,0.212495768
-0.141409704,0.164898809,-0.059051146,0.052019205,21.78651888,2.1465,0.055555556,-0.000668458,-0.15326757
0.013781159,0.115811595,-0.030929725,0.034961344,21.92526584,1.448177,0,0.001647302,-0.011888862
0.022212447,-0.107303293,0.158636726,0.033429297,21.99266187,1.340736,0,0.001209055,-0.009205007
0.07906148,0.008872025,-0.000837611,0.050775572,22.02012269,1.563279,0.045454545,-0.000219135,0.001973043
0.058598459,0.141939566,-0.09846457,0.140219951,24.10374531,1.143848,0.090909091,0.000510978,0.016439325
0.100792853,-0.014657335,0.024475087,0.056232081,24.13275669,1.468807,0.090909091,0.002153624,-0.018127328
0.087761446,-0.117678515,0.09032559,0.044196222,24.09297115,1.199794,0.095238095,0.001829372,-0.032099373
0.100822887,0.080899923,-0.007874727,0.083118045,24.17354171,0.974652,0.068965517,0.000940219,0.050459707
0.081539582,0.030011658,-0.020377436,0.044840065,24.2001646,0.946113,0.043478261,-0.00030658,0.017770639
0.068710428,0.053326037,-0.045344764,0.045992612,24.23162727,0.871143,0.041666667,-0.000239624,-0.026700397
0.082987031,0.073098617,-0.005498361,0.047187022,24.37240052,1.237797,0.08,0.001051192,0.047194371
0.06693327,0.189108497,0.009701694,0.0230681,22.02725795,1.943988,0.047619048,-9.35585E-05,0.024544717
0.051752303,0.245201721,0.007267732,0.019669353,22.37834408,2.233824,0.052631579,4.09978E-06,0.036612404
0.067888612,0.125306095,0.005597809,0.028222292,22.56489314,2.2162,0.05,-4.4353E-05,0.015875771
0.029653438,0.1285121,0.030958392,0.025955621,22.76002947,1.547472,0.04,0.000189498,0.029315211
0.034849496,0.118618794,0.03111937,0.020823463,22.95283282,1.811714,0.047619048,4.63146E-05,0.001383832
0.042053937,0.123037148,0.021864343,0.013609842,23.12641066,1.907596,0.05,6.76527E-06,0.016024775
-0.06210154,-0.06256262,0.181542765,0.026710656,23.27496951,1.888528,0.047619048,0.000468985,-0.018998944
-0.036426303,-0.018302484,0.007665963,0.001214829,21.54113048,1.55652,0,0.004257019,-0.054305765
-0.122615993,0.245993061,0.110755146,0.000389192,21.93553721,2.659089,0,0.008737044,0.02255939
-0.052988098,-0.160542546,0.201913533,0.001660218,21.94087233,1.951957,0,0.005117879,-0.001058725
0.035584138,0.158544123,-0.195521988,0.002404444,21.8976431,1.522344,0,0.000514012,-0.014304638
0.007382578,-0.048751534,0.1784951,0.001799961,22.03504429,1.654773,0,0.001979891,0.037370073
